Generation ; Total points ; Points from boxes ; Points from kills ; Steps ; Ray radius ; Sight ; moving speed ; Random direction ; Enemy weight ; Enemy distance factor ; Bullet weight ; Bullet distance factor ; Box weight ; Box distance factor ; projectile Speed ; Fire rate per minute 
0 ; 9 ; 3 ; 6 ; 21 ; 15 ; 32,54924 ; 5,897778 ; (-1,00, 1,00) ; 0 ; 0 ; 0 ; -0,1133893 ; 1,948412 ; 0 ; 9,998846 ; 15,11536 
1 ; 5 ; 2 ; 3 ; 19 ; 16 ; 32,13623 ; 3,866485 ; (-5,40, -0,97) ; 0 ; 0 ; 1,211333 ; -1,498519 ; 0 ; 3,04038 ; 15,48789 ; 16,78833 
2 ; 8 ; 2 ; 6 ; 20 ; 16 ; 30,879 ; 3,866485 ; (-5,40, -0,97) ; 0,02609491 ; 0 ; 3,036222 ; -1,498519 ; 0 ; 3,04038 ; 15,48789 ; 16,78833 
3 ; 5 ; 2 ; 3 ; 21 ; 16 ; 29,62176 ; 3,866485 ; (-5,40, -0,97) ; 0,05218983 ; 0 ; 4,861111 ; -1,498519 ; 0 ; 3,04038 ; 15,48789 ; 16,78833 
4 ; 6 ; 3 ; 3 ; 20 ; 16 ; 30,78888 ; 4,587395 ; (-5,40, -0,97) ; 0,02609491 ; 1,38108 ; 0,8594198 ; -1,498519 ; -1,190759 ; 3,04038 ; 14,18588 ; 16,78833 
5 ; 6 ; 3 ; 3 ; 24 ; 16 ; 28,36452 ; 3,866485 ; (-5,40, -0,97) ; 2,780326 ; 0 ; 6,686 ; -1,498519 ; 0 ; 3,04038 ; 15,48789 ; 16,78833 
6 ; 6 ; 3 ; 3 ; 24 ; 16 ; 28,2744 ; 4,587395 ; (-5,40, -0,97) ; 2,780326 ; 0 ; 4,509198 ; -1,498519 ; 0 ; 3,04038 ; 15,48789 ; 16,78833 
7 ; 6 ; 0 ; 6 ; 24 ; 16 ; 28,3501 ; 3,98185 ; (-5,40, 1,97) ; 2,780326 ; 1,38108 ; 6,686 ; -1,498519 ; -1,190759 ; 0,001337528 ; 14,18588 ; 16,35812 
8 ; 7 ; 1 ; 6 ; 22 ; 16 ; 27,01717 ; 4,587395 ; (-6,81, -3,99) ; 2,806421 ; 0 ; 6,334086 ; -3,360995 ; 0 ; 3,04038 ; 15,48789 ; 16,78833 
9 ; 4 ; 1 ; 3 ; 25 ; 16 ; 29,81802 ; 4,412342 ; (-7,20, -2,94) ; 5,312136 ; 1,858716 ; 6,334086 ; -3,033678 ; -3,411204 ; 1,62811 ; 15,48789 ; 15,29287 
10 ; 9 ; 3 ; 6 ; 26 ; 16 ; 28,56078 ; 4,412342 ; (-7,20, -2,94) ; 5,338231 ; 1,858716 ; 8,158976 ; -3,033678 ; -3,411204 ; 1,62811 ; 15,48789 ; 15,29287 
11 ; 7 ; 1 ; 6 ; 25 ; 16 ; 32,61887 ; 4,237289 ; (-9,73, -2,94) ; 7,817851 ; 3,717433 ; 6,334086 ; -4,568836 ; -5,273513 ; 0,4642515 ; 14,35842 ; 13,7974 
12 ; 4 ; 1 ; 3 ; 25 ; 16 ; 35,41973 ; 4,062236 ; (-11,53, -2,94) ; 10,32357 ; 5,576149 ; 6,334086 ; -6,103994 ; -8,684717 ; -0,6996074 ; 14,35842 ; 12,30193 
13 ; 4 ; 1 ; 3 ; 25 ; 16 ; 41,02143 ; 3,712129 ; (-14,40, -2,94) ; 15,335 ; 9,293583 ; 6,334086 ; -9,174311 ; -17,05602 ; -3,027325 ; 15,48789 ; 9,311001 
14 ; 6 ; 0 ; 6 ; 27 ; 16 ; 38,20544 ; 4,008336 ; (-12,60, 0,12) ; 12,28339 ; 10,56723 ; 6,334086 ; -7,639152 ; -11,13973 ; -3,695412 ; 15,48789 ; 10,80647 
15 ; 6 ; 0 ; 6 ; 27 ; 16 ; 38,20544 ; 4,008336 ; (-12,60, 0,12) ; 12,28339 ; 11,94831 ; 6,334086 ; -7,639152 ; -12,33049 ; -3,695412 ; 14,18588 ; 10,80647 
16 ; 4 ; 1 ; 3 ; 27 ; 17 ; 43,92746 ; 3,530503 ; (-16,20, -2,94) ; 20,54275 ; 11,1523 ; 6,334086 ; -10,70947 ; -23,0365 ; -4,191184 ; 15,48789 ; 7,815535 
17 ; 4 ; 1 ; 3 ; 29 ; 17 ; 41,1266 ; 3,705556 ; (-15,13, -2,94) ; 20,73908 ; 9,293583 ; 6,334086 ; -9,174311 ; -18,0764 ; -3,027325 ; 14,35842 ; 9,311001 
18 ; 6 ; 0 ; 6 ; 29 ; 17 ; 41,1266 ; 3,705556 ; (-15,13, -2,94) ; 20,73908 ; 10,67466 ; 6,334086 ; -9,174311 ; -19,26716 ; -3,027325 ; 13,05642 ; 9,311001 
19 ; 4 ; 1 ; 3 ; 29 ; 19 ; 40,93682 ; 5,223819 ; (-15,86, -2,94) ; 20,73908 ; 6,125237 ; 5,977233 ; -9,174311 ; -16,52751 ; -3,027325 ; 13,22896 ; 6,104049 
20 ; 4 ; 1 ; 3 ; 31 ; 19 ; 40,93682 ; 5,223819 ; (-15,86, -2,94) ; 23,44112 ; 6,125237 ; 5,977233 ; -9,174311 ; -16,52751 ; -3,027325 ; 13,22896 ; 6,104049 
21 ; 4 ; 1 ; 3 ; 33 ; 19 ; 40,93682 ; 5,223819 ; (-15,86, -2,94) ; 26,14316 ; 6,125237 ; 5,977233 ; -9,174311 ; -16,52751 ; -3,027325 ; 13,22896 ; 6,104049 
22 ; 4 ; 1 ; 3 ; 33 ; 19 ; 40,84671 ; 5,944729 ; (-15,86, -2,94) ; 26,14316 ; 6,125237 ; 3,800431 ; -9,174311 ; -16,52751 ; -3,027325 ; 13,22896 ; 6,104049 
23 ; 4 ; 1 ; 3 ; 35 ; 19 ; 40,84671 ; 5,944729 ; (-15,86, -2,94) ; 28,8452 ; 6,125237 ; 3,800431 ; -9,174311 ; -16,52751 ; -3,027325 ; 13,22896 ; 6,104049 
24 ; 4 ; 1 ; 3 ; 33 ; 19 ; 40,84671 ; 5,944729 ; (-16,59, -2,94) ; 26,14316 ; 7,506317 ; 3,800431 ; -9,174311 ; -16,16937 ; -3,027325 ; 10,79749 ; 6,104049 
25 ; 4 ; 1 ; 3 ; 35 ; 19 ; 43,72883 ; 3,008147 ; (-14,13, -2,94) ; 26,14316 ; 7,506317 ; 3,539544 ; -9,174311 ; -18,30269 ; -5,924853 ; 8,711565 ; 6,104049 
26 ; 3 ; 0 ; 3 ; 31 ; 19 ; 40,65693 ; 5,25897 ; (-16,59, -2,75) ; 26,14316 ; 4,337972 ; 3,443577 ; -7,422685 ; -19,42142 ; -4,350151 ; 10,79749 ; 6 
27 ; 3 ; 0 ; 3 ; 31 ; 21 ; 40,46714 ; 6,777233 ; (-16,59, -2,75) ; 26,14316 ; 1,169626 ; 3,086724 ; -7,422685 ; -19,42142 ; -4,350151 ; 10,79749 ; 6 
28 ; 4 ; 1 ; 3 ; 33 ; 19 ; 43,23356 ; 4,766309 ; (-14,86, -2,75) ; 26,14316 ; 4,337972 ; 4,294799 ; -7,422685 ; -20,00584 ; -7,247679 ; 7,5821 ; 6 
29 ; 3 ; 0 ; 3 ; 31 ; 19 ; 36,96076 ; 12,44062 ; (-16,72, -2,75) ; 26,14316 ; 4,337972 ; 2,378884 ; -7,422685 ; -19,42142 ; -4,350151 ; 10,79749 ; 6 
30 ; 3 ; 0 ; 3 ; 31 ; 19 ; 42,83796 ; 7,931139 ; (-14,86, -2,75) ; 26,14316 ; 4,337972 ; 3,230105 ; -7,191672 ; -20,00584 ; -7,247679 ; 7,5821 ; 6 
31 ; 4 ; 1 ; 3 ; 31 ; 19 ; 36,96076 ; 12,44062 ; (-17,45, -2,75) ; 26,14316 ; 5,719051 ; 2,378884 ; -7,422685 ; -19,06328 ; -4,350151 ; 8,366022 ; 6 
32 ; 3 ; 0 ; 3 ; 31 ; 19 ; 42,44235 ; 11,09597 ; (-14,86, -4,72) ; 26,14316 ; 4,337972 ; 2,165412 ; -7,191672 ; -20,00584 ; -7,496089 ; 7,5821 ; 6 
33 ; 3 ; 0 ; 3 ; 31 ; 19 ; 44,32274 ; 11,59072 ; (-14,86, -4,72) ; 28,01444 ; 4,337972 ; 2,165412 ; -7,191672 ; -20,00584 ; -7,496089 ; 10,5124 ; 6 
34 ; 4 ; 1 ; 3 ; 31 ; 20 ; 46,30829 ; 12,07891 ; (-14,86, -2,75) ; 29,88573 ; 4,337972 ; 2,165412 ; -7,191672 ; -22,57512 ; -7,247679 ; 13,4427 ; 6 
35 ; 3 ; 0 ; 3 ; 33 ; 19 ; 46,20313 ; 12,08548 ; (-14,86, -4,72) ; 32,58777 ; 4,337972 ; 2,165412 ; -7,191672 ; -20,00584 ; -7,496089 ; 13,4427 ; 6 
36 ; 5 ; 2 ; 3 ; 35 ; 19 ; 49,08525 ; 9,148899 ; (-13,13, -2,75) ; 32,58777 ; 4,337972 ; 1,904525 ; -7,191672 ; -20,59027 ; -10,14521 ; 10,22731 ; 6 
37 ; 4 ; 1 ; 3 ; 37 ; 19 ; 49,08525 ; 9,148899 ; (-13,13, -2,75) ; 35,28981 ; 4,337972 ; 1,904525 ; -7,191672 ; -20,59027 ; -10,14521 ; 10,22731 ; 6 
38 ; 3 ; 0 ; 3 ; 41 ; 19 ; 49,17536 ; 8,427989 ; (-13,13, -2,75) ; 40,69389 ; 4,337972 ; 4,081327 ; -7,191672 ; -20,59027 ; -10,14521 ; 10,22731 ; 6 
39 ; 3 ; 0 ; 3 ; 39 ; 19 ; 52,1476 ; 4,770498 ; (-11,41, -2,75) ; 37,99185 ; 4,337972 ; 5,997242 ; -6,96066 ; -21,17469 ; -13,04273 ; 7,011917 ; 6 
40 ; 3 ; 0 ; 3 ; 39 ; 21 ; 51,95782 ; 6,288761 ; (-11,41, -2,75) ; 37,99185 ; 1,169626 ; 5,640388 ; -6,96066 ; -21,17469 ; -13,04273 ; 7,011917 ; 6 
41 ; 4 ; 1 ; 3 ; 39 ; 20 ; 52,23835 ; 4,87929 ; (-11,41, 0,20) ; 37,99185 ; 4,337972 ; 5,997242 ; -6,96066 ; -23,74397 ; -16,08178 ; 7,011917 ; 6 
42 ; 4 ; 1 ; 3 ; 39 ; 23 ; 51,67792 ; 8,527934 ; (-11,41, -2,75) ; 37,99185 ; -1,998719 ; 3,106733 ; -6,96066 ; -21,17469 ; -13,04273 ; 7,011917 ; 6 
43 ; 3 ; 0 ; 3 ; 37 ; 20 ; 52,04856 ; 4,193531 ; (-11,41, 0,38) ; 37,99185 ; 1,169626 ; 5,640388 ; -5,209034 ; -26,99602 ; -17,4046 ; 7,011917 ; 6 
44 ; 3 ; 0 ; 3 ; 41 ; 25 ; 51,48814 ; 10,0462 ; (-11,41, -2,75) ; 40,69389 ; -5,167065 ; 2,749879 ; -6,96066 ; -21,17469 ; -13,04273 ; 7,011917 ; 6 
45 ; 4 ; 1 ; 3 ; 39 ; 26 ; 51,57816 ; 10,16078 ; (-11,41, 0,31) ; 34,74392 ; -2,034698 ; 2,749879 ; -6,96066 ; -21,23889 ; -14,87468 ; 7,011917 ; 6 
46 ; 4 ; 1 ; 3 ; 41 ; 25 ; 51,45785 ; 10,2885 ; (-11,41, 3,37) ; 34,19802 ; 1,097668 ; 2,749879 ; -6,96066 ; -16,16452 ; -16,70662 ; 7,011917 ; 6 
47 ; 3 ; 0 ; 3 ; 41 ; 25 ; 54,43009 ; 6,631012 ; (-9,68, 1,40) ; 31,49598 ; 1,097668 ; 4,665794 ; -6,96066 ; -16,74895 ; -19,85256 ; 3,796528 ; 6 
48 ; 4 ; 1 ; 3 ; 41 ; 25 ; 49,71111 ; 8,259691 ; (-11,41, 1,40) ; 33,27954 ; 1,097668 ; 2,749879 ; -6,96066 ; -16,16452 ; -13,86672 ; 6,310714 ; 6 
49 ; 4 ; 1 ; 3 ; 39 ; 25 ; 49,621 ; 8,980601 ; (-12,14, 1,40) ; 30,5775 ; 1,097668 ; 0,5730772 ; -6,96066 ; -14,61563 ; -13,86672 ; 5,18125 ; 6 
50 ; 5 ; 2 ; 3 ; 43 ; 25 ; 55,65559 ; 1 ; (-8,68, 1,40) ; 30,5775 ; 1,097668 ; 6,581709 ; -6,96066 ; -15,78448 ; -19,66178 ; 2 ; 6 
